MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190813,AK,69.38,21.00,5.86,2.89,0.88,0.00,2019-08-13,2019-08-19,2
20190806,AK,50.86,37.50,9.64,1.13,0.88,0.00,2019-08-06,2019-08-12,2
20190730,AK,30.37,45.16,18.68,4.91,0.88,0.00,2019-07-30,2019-08-05,2
20190723,AK,30.37,45.16,18.68,4.91,0.88,0.00,2019-07-23,2019-07-29,2
20190716,AK,30.69,45.21,22.10,1.13,0.88,0.00,2019-07-16,2019-07-22,2
20190709,AK,37.65,57.10,3.60,0.77,0.88,0.00,2019-07-09,2019-07-15,2
20190702,AK,87.65,9.57,1.13,0.77,0.88,0.00,2019-07-02,2019-07-08,2
20190625,AK,87.65,9.57,1.13,0.77,0.88,0.00,2019-06-25,2019-07-01,2
20190618,AK,87.65,9.57,1.13,0.77,0.88,0.00,2019-06-18,2019-06-24,2
20190611,AK,94.17,3.05,1.13,0.77,0.88,0.00,2019-06-11,2019-06-17,2
20190604,AK,94.17,3.05,1.13,0.77,0.88,0.00,2019-06-04,2019-06-10,2
20190528,AK,94.17,3.05,1.13,0.77,0.88,0.00,2019-05-28,2019-06-03,2
20190521,AK,94.17,3.05,1.13,0.77,0.88,0.00,2019-05-21,2019-05-27,2
20190514,AK,94.17,3.62,1.28,0.93,0.00,0.00,2019-05-14,2019-05-20,2
20190507,AK,94.17,3.62,1.28,0.93,0.00,0.00,2019-05-07,2019-05-13,2
20190430,AK,94.17,2.09,2.05,1.69,0.00,0.00,2019-04-30,2019-05-06,2
20190423,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-04-23,2019-04-29,2
20190416,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-04-16,2019-04-22,2
20190409,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-04-09,2019-04-15,2
20190402,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-04-02,2019-04-08,2
20190326,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-03-26,2019-04-01,2
20190319,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-03-19,2019-03-25,2
20190312,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-03-12,2019-03-18,2
20190305,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-03-05,2019-03-11,2
20190226,AK,94.17,2.09,1.81,1.93,0.00,0.00,2019-02-26,2019-03-04,2
